,owner,score,last_edit_date,last_activity_date,creation_date,post_type,content_license,link
100,"(129, 'Krishnanshu Gupta')",8,1498144336.0,1498144336,1495581122,answer,CC BY-SA 3.0,https://cseducators.stackexchange.com/a/100
199,"(27, 'Ben I.')",5,1497991561.0,1497991561,1495772627,answer,CC BY-SA 3.0,https://cseducators.stackexchange.com/a/199
198,"(27, 'Ben I.')",7,1497991161.0,1497991561,1495772627,question,CC BY-SA 3.0,https://cseducators.stackexchange.com/q/198
121,"(164, 'Praveen Kumar Purushothaman')",1,1496834855.0,1496834855,1495620545,question,CC BY-SA 3.0,https://cseducators.stackexchange.com/q/121
145,"(59, 'hotpaw2')",16,1496807231.0,1496807231,1495659266,answer,CC BY-SA 3.0,https://cseducators.stackexchange.com/a/145
106,"(27, 'Ben I.')",9,1495660237.0,1496536824,1495590334,question,CC BY-SA 3.0,https://cseducators.stackexchange.com/q/106
148,"(119, 'OldBunny2800')",5,1495833210.0,1495833210,1495661680,answer,CC BY-SA 3.0,https://cseducators.stackexchange.com/a/148
181,"(146, 'Dave Russell')",4,1495811902.0,1495811902,1495738739,answer,CC BY-SA 3.0,https://cseducators.stackexchange.com/a/181
191,"(182, 'user58697')",7,1495765780.0,1495765780,1495765334,answer,CC BY-SA 3.0,https://cseducators.stackexchange.com/a/191
190,"(58, 'thesecretmaster')",8,1495764504.0,1495764504,1495764011,answer,CC BY-SA 3.0,https://cseducators.stackexchange.com/a/190
188,"(76, 'Peter')",5,,1495756617,1495756617,answer,CC BY-SA 3.0,https://cseducators.stackexchange.com/a/188
165,"(166, 'Scimonster')",21,1495751616.0,1495751616,1495717188,answer,CC BY-SA 3.0,https://cseducators.stackexchange.com/a/165
182,"(154, 'Discrete lizard')",1,1495750944.0,1495750944,1495739010,answer,CC BY-SA 3.0,https://cseducators.stackexchange.com/a/182
174,"(27, 'Ben I.')",4,,1495750944,1495729107,question,CC BY-SA 3.0,https://cseducators.stackexchange.com/q/174
186,"(44, 'Miles')",6,1495743956.0,1495743956,1495743048,answer,CC BY-SA 3.0,https://cseducators.stackexchange.com/a/186
184,"(27, 'Ben I.')",6,1495741327.0,1495741327,1495739766,answer,CC BY-SA 3.0,https://cseducators.stackexchange.com/a/184
183,"(130, 'xuq01')",3,1495740346.0,1495740346,1495739669,answer,CC BY-SA 3.0,https://cseducators.stackexchange.com/a/183
177,"(204, 'ctrl-alt-delor')",2,,1495733292,1495733292,answer,CC BY-SA 3.0,https://cseducators.stackexchange.com/a/177
176,"(35, 'AlG')",4,,1495731542,1495731542,answer,CC BY-SA 3.0,https://cseducators.stackexchange.com/a/176
175,"(27, 'Ben I.')",4,,1495729637,1495729637,answer,CC BY-SA 3.0,https://cseducators.stackexchange.com/a/175
136,"(2, 'Aurora0001')",12,1495728289.0,1495728289,1495636490,answer,CC BY-SA 3.0,https://cseducators.stackexchange.com/a/136
173,"(188, 'Diarmuid &#211; Muirgheasa')",11,,1495727866,1495727866,answer,CC BY-SA 3.0,https://cseducators.stackexchange.com/a/173
171,"(2, 'Aurora0001')",21,1495726957.0,1495726957,1495725127,answer,CC BY-SA 3.0,https://cseducators.stackexchange.com/a/171
170,"(154, 'Discrete lizard')",1,,1495724831,1495724831,answer,CC BY-SA 3.0,https://cseducators.stackexchange.com/a/170
154,"(166, 'Scimonster')",1,1495723821.0,1495723821,1495688777,question,CC BY-SA 3.0,https://cseducators.stackexchange.com/q/154
163,"(65, 'G. Ann - SonarSource Team')",4,1495723101.0,1495723101,1495713417,answer,CC BY-SA 3.0,https://cseducators.stackexchange.com/a/163
169,"(30, 'Ryan Nutt')",3,,1495721514,1495721514,answer,CC BY-SA 3.0,https://cseducators.stackexchange.com/a/169
168,"(41, 'Sean Houlihane')",3,,1495720334,1495720334,answer,CC BY-SA 3.0,https://cseducators.stackexchange.com/a/168
164,"(41, 'Sean Houlihane')",3,,1495715597,1495715597,answer,CC BY-SA 3.0,https://cseducators.stackexchange.com/a/164
151,"(76, 'Peter')",3,1495715249.0,1495715249,1495668513,answer,CC BY-SA 3.0,https://cseducators.stackexchange.com/a/151
162,"(154, 'Discrete lizard')",4,,1495712539,1495712539,answer,CC BY-SA 3.0,https://cseducators.stackexchange.com/a/162
160,"(44, 'Miles')",5,,1495711988,1495711988,answer,CC BY-SA 3.0,https://cseducators.stackexchange.com/a/160
158,"(44, 'Miles')",4,,1495705716,1495705716,answer,CC BY-SA 3.0,https://cseducators.stackexchange.com/a/158
157,"(188, 'Diarmuid &#211; Muirgheasa')",5,,1495704959,1495704959,answer,CC BY-SA 3.0,https://cseducators.stackexchange.com/a/157
156,"(48, 'pluke')",1,,1495702550,1495702550,answer,CC BY-SA 3.0,https://cseducators.stackexchange.com/a/156
155,"(48, 'pluke')",1,,1495702390,1495702390,answer,CC BY-SA 3.0,https://cseducators.stackexchange.com/a/155
105,"(136, 'Kapai')",7,1495688779.0,1495688779,1495587477,answer,CC BY-SA 3.0,https://cseducators.stackexchange.com/a/105
152,"(130, 'xuq01')",8,,1495679127,1495679127,answer,CC BY-SA 3.0,https://cseducators.stackexchange.com/a/152
118,"(130, 'xuq01')",3,1495674525.0,1495674525,1495610971,answer,CC BY-SA 3.0,https://cseducators.stackexchange.com/a/118
150,"(182, 'user58697')",5,,1495665073,1495665073,answer,CC BY-SA 3.0,https://cseducators.stackexchange.com/a/150
149,"(46, 'Manav Dubey')",4,,1495661836,1495661836,answer,CC BY-SA 3.0,https://cseducators.stackexchange.com/a/149
147,"(27, 'Ben I.')",5,,1495661205,1495661205,answer,CC BY-SA 3.0,https://cseducators.stackexchange.com/a/147
144,"(59, 'hotpaw2')",2,,1495658687,1495658687,answer,CC BY-SA 3.0,https://cseducators.stackexchange.com/a/144
138,"(76, 'Peter')",11,1495647696.0,1495647696,1495640123,answer,CC BY-SA 3.0,https://cseducators.stackexchange.com/a/138
142,"(44, 'Miles')",3,,1495642863,1495642863,answer,CC BY-SA 3.0,https://cseducators.stackexchange.com/a/142
139,"(58, 'thesecretmaster')",0,,1495640849,1495640849,answer,CC BY-SA 3.0,https://cseducators.stackexchange.com/a/139
135,"(46, 'Manav Dubey')",0,1495636714.0,1495636714,1495635470,answer,CC BY-SA 3.0,https://cseducators.stackexchange.com/a/135
133,"(41, 'Sean Houlihane')",5,,1495633915,1495633915,answer,CC BY-SA 3.0,https://cseducators.stackexchange.com/a/133
127,"(28, 'ecc')",8,,1495626755,1495626755,answer,CC BY-SA 3.0,https://cseducators.stackexchange.com/a/127
126,"(65, 'G. Ann - SonarSource Team')",14,,1495625642,1495625642,answer,CC BY-SA 3.0,https://cseducators.stackexchange.com/a/126
125,"(51, 'vacip')",5,,1495622083,1495622083,answer,CC BY-SA 3.0,https://cseducators.stackexchange.com/a/125
124,"(166, 'Scimonster')",6,,1495622080,1495622080,answer,CC BY-SA 3.0,https://cseducators.stackexchange.com/a/124
123,"(58, 'thesecretmaster')",3,,1495621719,1495621719,answer,CC BY-SA 3.0,https://cseducators.stackexchange.com/a/123
119,"(44, 'Miles')",14,,1495611203,1495611203,answer,CC BY-SA 3.0,https://cseducators.stackexchange.com/a/119
117,"(111, 'wythagoras')",7,,1495609396,1495609396,answer,CC BY-SA 3.0,https://cseducators.stackexchange.com/a/117
116,"(80, 'Romeo Ninov')",4,,1495608450,1495608450,answer,CC BY-SA 3.0,https://cseducators.stackexchange.com/a/116
115,"(150, 'ItamarG3')",4,,1495607863,1495607863,answer,CC BY-SA 3.0,https://cseducators.stackexchange.com/a/115
111,"(44, 'Miles')",26,,1495605617,1495605617,answer,CC BY-SA 3.0,https://cseducators.stackexchange.com/a/111
110,"(44, 'Miles')",7,,1495604331,1495604331,answer,CC BY-SA 3.0,https://cseducators.stackexchange.com/a/110
109,"(76, 'Peter')",10,,1495604033,1495604033,answer,CC BY-SA 3.0,https://cseducators.stackexchange.com/a/109
101,"(128, 'Joat')",5,,1495582174,1495582174,answer,CC BY-SA 3.0,https://cseducators.stackexchange.com/a/101
287,"(58, 'thesecretmaster')",6,1592469417.0,1627688198,1496110817,question,CC BY-SA 4.0,https://cseducators.stackexchange.com/q/287
213,"(76, 'Peter')",43,1500142337.0,1623748015,1495870834,question,CC BY-SA 3.0,https://cseducators.stackexchange.com/q/213
211,"(76, 'Peter')",12,1622611491.0,1622611491,1495870379,question,CC BY-SA 4.0,https://cseducators.stackexchange.com/q/211
249,"(204, 'ctrl-alt-delor')",4,1622216424.0,1622216424,1495964798,answer,CC BY-SA 4.0,https://cseducators.stackexchange.com/a/249
232,"(216, 'Sasha')",11,1622001394.0,1622001394,1495892226,answer,CC BY-SA 4.0,https://cseducators.stackexchange.com/a/232
299,"(76, 'Peter')",8,1500483729.0,1616949619,1496162353,question,CC BY-SA 3.0,https://cseducators.stackexchange.com/q/299
222,"(204, 'ctrl-alt-delor')",23,1598795422.0,1598795422,1495882784,answer,CC BY-SA 4.0,https://cseducators.stackexchange.com/a/222
225,"(58, 'thesecretmaster')",10,1527611530.0,1527611530,1495883832,answer,CC BY-SA 4.0,https://cseducators.stackexchange.com/a/225
206,"(27, 'Ben I.')",17,1497193123.0,1527604725,1495820571,question,CC BY-SA 3.0,https://cseducators.stackexchange.com/q/206
201,"(27, 'Ben I.')",16,1495820934.0,1527434633,1495807229,question,CC BY-SA 3.0,https://cseducators.stackexchange.com/q/201
212,"(215, 'BrDaHa')",12,1495903828.0,1527430245,1495870767,question,CC BY-SA 3.0,https://cseducators.stackexchange.com/q/212
288,"(241, '1234567')",4,1509326231.0,1509326231,1496111485,answer,CC BY-SA 3.0,https://cseducators.stackexchange.com/a/288
207,"(30, 'Ryan Nutt')",21,1503529995.0,1503529995,1495822333,answer,CC BY-SA 3.0,https://cseducators.stackexchange.com/a/207
228,"(150, 'ItamarG3')",10,1496163254.0,1500479152,1495886607,question,CC BY-SA 3.0,https://cseducators.stackexchange.com/q/228
261,"(150, 'ItamarG3')",9,1496041760.0,1499440706,1495990446,question,CC BY-SA 3.0,https://cseducators.stackexchange.com/q/261
248,"(2, 'Aurora0001')",12,1499359680.0,1499368486,1495963305,question,CC BY-SA 3.0,https://cseducators.stackexchange.com/q/248
282,"(27, 'Ben I.')",5,1498748320.0,1498748320,1496105429,question,CC BY-SA 3.0,https://cseducators.stackexchange.com/q/282
237,"(150, 'ItamarG3')",3,1498303548.0,1498303548,1495907928,answer,CC BY-SA 3.0,https://cseducators.stackexchange.com/a/237
235,"(27, 'Ben I.')",6,1495907566.0,1498303548,1495907153,question,CC BY-SA 3.0,https://cseducators.stackexchange.com/q/235
203,"(116, 'James')",11,1498252817.0,1498252817,1495811059,question,CC BY-SA 3.0,https://cseducators.stackexchange.com/q/203
251,"(166, 'Scimonster')",7,1495968980.0,1497552405,1495968737,question,CC BY-SA 3.0,https://cseducators.stackexchange.com/q/251
295,"(104, 'Gypsy Spellweaver')",12,1497545379.0,1497545379,1496145788,answer,CC BY-SA 3.0,https://cseducators.stackexchange.com/a/295
224,"(27, 'Ben I.')",45,1497541057.0,1497541057,1495883300,answer,CC BY-SA 3.0,https://cseducators.stackexchange.com/a/224
272,"(76, 'Peter')",8,,1497531568,1496088396,question,CC BY-SA 3.0,https://cseducators.stackexchange.com/q/272
254,"(204, 'ctrl-alt-delor')",0,1497243109.0,1497243109,1495970282,answer,CC BY-SA 3.0,https://cseducators.stackexchange.com/a/254
244,"(41, 'Sean Houlihane')",1,1497199394.0,1497199394,1495922237,answer,CC BY-SA 3.0,https://cseducators.stackexchange.com/a/244
214,"(76, 'Peter')",39,1496517334.0,1496517334,1495870834,answer,CC BY-SA 3.0,https://cseducators.stackexchange.com/a/214
270,"(39, 'Nat')",6,1496325460.0,1496325460,1496053516,answer,CC BY-SA 3.0,https://cseducators.stackexchange.com/a/270
296,"(150, 'ItamarG3')",5,,1496157835,1496157835,answer,CC BY-SA 3.0,https://cseducators.stackexchange.com/a/296
294,"(104, 'Gypsy Spellweaver')",7,,1496142717,1496142717,answer,CC BY-SA 3.0,https://cseducators.stackexchange.com/a/294
293,"(104, 'Gypsy Spellweaver')",5,,1496141753,1496141753,answer,CC BY-SA 3.0,https://cseducators.stackexchange.com/a/293
292,"(104, 'Gypsy Spellweaver')",3,1496141585.0,1496141585,1496140450,answer,CC BY-SA 3.0,https://cseducators.stackexchange.com/a/292
291,"(104, 'Gypsy Spellweaver')",5,,1496138945,1496138945,answer,CC BY-SA 3.0,https://cseducators.stackexchange.com/a/291
290,"(204, 'ctrl-alt-delor')",5,,1496135565,1496135565,answer,CC BY-SA 3.0,https://cseducators.stackexchange.com/a/290
289,"(76, 'Peter')",3,,1496127709,1496127709,answer,CC BY-SA 3.0,https://cseducators.stackexchange.com/a/289
286,"(27, 'Ben I.')",5,1496108436.0,1496108436,1496108072,answer,CC BY-SA 3.0,https://cseducators.stackexchange.com/a/286
283,"(136, 'Kapai')",4,,1496106356,1496106356,answer,CC BY-SA 3.0,https://cseducators.stackexchange.com/a/283
281,"(76, 'Peter')",3,,1496101675,1496101675,answer,CC BY-SA 3.0,https://cseducators.stackexchange.com/a/281
280,"(76, 'Peter')",2,1592469417.0,1496099516,1496099516,answer,CC BY-SA 4.0,https://cseducators.stackexchange.com/a/280
279,"(238, 'Gary Langner')",5,,1496096648,1496096648,answer,CC BY-SA 3.0,https://cseducators.stackexchange.com/a/279
271,"(174, 'nycynik')",5,,1496085134,1496085134,answer,CC BY-SA 3.0,https://cseducators.stackexchange.com/a/271
269,"(44, 'Miles')",6,1496041770.0,1496041770,1496041428,answer,CC BY-SA 3.0,https://cseducators.stackexchange.com/a/269
268,"(30, 'Ryan Nutt')",6,,1496010763,1496010763,answer,CC BY-SA 3.0,https://cseducators.stackexchange.com/a/268
266,"(30, 'Ryan Nutt')",2,,1495996138,1495996138,answer,CC BY-SA 3.0,https://cseducators.stackexchange.com/a/266
265,"(76, 'Peter')",5,,1495995130,1495995130,answer,CC BY-SA 3.0,https://cseducators.stackexchange.com/a/265
264,"(166, 'Scimonster')",0,,1495992366,1495992366,answer,CC BY-SA 3.0,https://cseducators.stackexchange.com/a/264
260,"(76, 'Peter')",4,,1495987650,1495987650,answer,CC BY-SA 3.0,https://cseducators.stackexchange.com/a/260
